,name,founded_date,employee_count,description,location,categories,funding_data,investor_data
0,Shuttl,2015,11 - 50,"Shuttl is the future of public transport. It's a mobile based minibus service aimed at making your daily commute more convenient. Their vehicles are air-conditioned and operate with high frequency on fixed routes freeing you from the hassles of existing public transport options at a very economical price point.
Download the Shuttl app now and hop on for a super comfortable ride. 
They are currently serving Delhi NCR and soon expanding to other cities.
","Gurgaon, Haryana","Transportation, Apps, Mobile","[['Dec, 2015', '$20M / Series A', '—', 'Sequoia Capital', '4'], ['Jun, 2015', '₹190M / Seed', '—', 'Sequoia Capital', '2'], ['Mar, 2015', '₹10.5M / Angel', '—', '—', '5']]","[['advantEdge Partners', 'Angel', '-', 'Seed', '-', 'Series A', '-'], ['Akshay Garg', 'Angel', '-'], ['Lightspeed Venture Partners', 'Series A', '-'], ['Rahul Garg', 'Angel', '-'], ['Sequoia Capital', 'Seed\xa0(Lead)', '-', 'Series A\xa0(Lead)', '-'], ['Spice Labs', 'Angel', '-'], ['Times Internet', 'Series A', '-'], ['Vijay Ghadge', 'Angel', '-']]"
0,hike,"December 12, 2012",11 - 50,"Hike is a mobile app that enables its users to communicate with each other. It enables its users to communicate through voice calls and text messages. It enables its users to access group chats, pin important messages, send and receive attachments, and connect on both online and offline modes.
It provides several features such as chat themes, online and offline privacy, and other related features.
Hike is available globally on iOS, Android, Blackberry, WP, and S40. It was founded on December 12, 2012, and is based in New Delhi, India.
",New Delhi,"Messaging, Apps, Mobile","[['Aug, 2016', '$175M / Series D', '—', 'Foxconn Technology GroupTencent Holdings', '5'], ['Jan, 2016', 'undisclosed amount / Venture', '—', '—', '4'], ['Aug, 2014', '$65M / Series C', '—', 'Tiger Global Management', '2'], ['Mar, 2014', '$14M / Series B', '—', 'Bharti Soft Bank', '1'], ['Apr, 2013', '$7M / Series A', '—', 'Bharti Soft Bank', '1']]","[['Aditya Agarwal', 'Venture', '-'], ['Bharti Enterprises', 'Series D', '-'], ['Bharti Soft Bank', 'Series A\xa0(Lead)', '-', 'Series B\xa0(Lead)', '-', 'Series C', '-'], ['Foxconn Technology Group', 'Series D\xa0(Lead)', '-'], ['Matt Mullenweg', 'Venture', '-'], ['Ruchi Sanghvi', 'Venture', '-'], ['SoftBank', 'Series D', '-'], ['Tencent Holdings', 'Series D\xa0(Lead)', '-'], ['Tiger Global Management', 'Series C\xa0(Lead)', '-', 'Series D', '-'], ['Traveon Rogers', 'Venture', '-']]"
0,99Games Online Private Limited,2008,11 - 50,"Putting casual games right in your pocket, 99Games has been a pioneer in creating fun, easy-to-learn and captivating games for the mobile platform. 
Founded in 2008 in Udupi, India, 99Games started with a small team of enthusiastic gamers, wanting to create casual games for the masses. 
Best known for award-winning games like Star Chef, Dhoom:3 The Game, WordsWorth, Dream Star and The Jim & Frank Mysteries, 99Games is focused on building high quality games that connects people together.
","Udupi, Karnataka","Android, Developer Platform, Video Games","[['Jan, 2017', 'undisclosed amount / Venture', '—', 'Dream Incubator', '3'], ['Apr, 2015', 'undisclosed amount / Series B', '—', 'Ascent Capital', '2']]","[['Ascent Capital', 'Series B\xa0(Lead)', '-', 'Venture', '-'], ['Dream Incubator', 'Venture\xa0(Lead)', '-'], ['Kalaari Capital', 'Series B', '-', 'Venture', '-']]"
0,Babyoye,"June 1, 2010",11 - 50,"Babyoye.com was conceived to provide the online generation of modern Indian parents with the opportunity to access the best in pregnancy infant-care and mother-care products and services.
","Mumbai, Maharashtra","E-Commerce, Internet, Mothers, Shopping, Child Care","[['Dec, 2011', 'undisclosed amount / Undisclosed', '—', '—', '1'], ['Apr, 2011', '$2.5M / Venture', '—', 'Accel PartnersTiger Global Management', '3']]","[['Accel Partners', 'Venture\xa0(Lead)', '-'], ['Helion Venture Partners', 'Venture', '-'], ['Karisma Kapoor', 'Undisclosed', '-'], ['Tiger Global Management', 'Venture\xa0(Lead)', '-']]"
0,BlackBuck,2015,11 - 50,"Keeping technology at the core, BlackBuck is redefining the logistics landscape of India, making it reliable and efficient. Our comprehensive approach to problems creates impact on the entire ecosystem of transportation, which stitches across large number of livelihoods. The transportation sector is ripe for a revolution, and Blackbuck marks the beginning.
","Bangalore, Karnataka","Transportation, Logistics, Information Technology, Information Services","[['Mar, 2017', '$70M / Series C', '—', 'Sands Capital Ventures', '4'], ['Dec, 2015', '$25M / Series B', '—', 'Accel Partners', '4'], ['Jul, 2015', '$5M / Series A', '—', '—', '2']]","[['Accel Partners', 'Series A', '-', 'Series B\xa0(Lead)', 'Anand Daniel', 'Series C', 'Anand Daniel'], ['Apoletto Asia', 'Series B', '-'], ['Flipkart', 'Series A', '-', 'Series B', '-', 'Series C', '-'], ['IFC Asset Management Company', 'Series C', '-'], ['Sands Capital Ventures', 'Series C\xa0(Lead)', '-'], ['Tiger Global Management', 'Series B', '-']]"
0,Rivigo,2014Aliases:TrucksFirst,11 - 50,"trucksfirst is built for clients who need hassle free, reliable, professional and super-express logistics services. By using simple processes, advanced technology, trained and professional staff, they help our clients manage long haul logistics seamlessly.  The company coordinates delivery trucks going between different cities, using technology and innovative operational processes. It aims to significantly improve the truck driver ecosystem and operational efficiencies while doing so.
","Gurgaon, Haryana","Transportation, Logistics, Automotive","[['Mar, 2017', '₹1B / Debt Financing', '—', '—', '0'], ['Oct, 2016', '$75M / Series C', '—', 'Warburg Pincus', '1'], ['Dec, 2015', '$30M / Series B', '—', 'SAIF Partners', '1'], ['Apr, 2015', '₹618M / Series A', '—', '—', '1']]","[['SAIF Partners', 'Series A', '-', 'Series B\xa0(Lead)', '-'], ['Warburg Pincus', 'Series C\xa0(Lead)', '-']]"
0,ShopX,2015Aliases:10i ,11 - 50,"ShopX is a technology company using digital commerce to make products, content & services available to all.
The majority of the population in smaller towns and cities continue to shop ‘offline’ at their nearby retail stores. Our mission is to empower 1 million retailers and thereby enable 400 million middle income Indians to reap the benefits of online commerce.
","Bengaluru, Karnataka","E-Commerce, Internet","[['Dec, 2016', '$5M / Venture', '—', 'Nandan Nilekani', '1']]","[['Nandan Nilekani', 'Venture\xa0(Lead)', '-']]"
0,Mubble,2012,11 - 50,"Mubble is a mobile first, India centric product, in the telecom utility apps space
Mubble was founded in 2013 by three friends, with strong interdisciplinary backgrounds in marketing, analytics and mobile technology platforms
Mubble is a technology company, focused on the Indian market. They specialize in using the power of analytics to make simple and intelligent apps for their users
Modern multi-core smartphones put huge amounts of processing power in their pockets. Their patent-pending on-device analytics technologies enable powerful data crunching on the phone and reducing the need to send data out of smartphones to central servers. This not only make their Apps smarter, but extremely privacy friendly as well
To help users take smarter decisions and maximize the power of mobile data enabled smartphones
","Bangalore, Karnataka",Public Relations,"[['Oct, 2015', 'undisclosed amount / Series A', '—', 'Accel Partners', '1'], ['Sep, 2015', 'undisclosed amount / Seed', '—', '—', '1']]","[['Accel Partners', 'Series A\xa0(Lead)', '-'], ['Nandan Nilekani', 'Seed', '-']]"
0,Zipdial,"March 1, 2010",11 - 50,"ZipDial Mobile Solutions Pvt Ltd is a Bangalore-based company founded by three technology entrepreneurs with degrees from top global universities and graduate schools as well as extensive professional leadership experience in both India and the US, including companies like mChek, Zapak.com, eBay, Ketera and Xerox.
ZipDial has been tested and proven through past campaigns with large customers such as KFC & Pepsi and Sanofi-Aventis as well as for small and medium businesses such as individual celebrities, NGOs and live event managers. Read customer case studies here
ZipDialâ€™s technology is patent pending and available internationally.
",Bangalore City,"Developer Tools, Enterprise Software, Mobile","[['Apr, 2013', 'undisclosed amount / Venture', '—', 'Jungle Ventures', '1'], ['Dec, 2012', 'undisclosed amount / Seed', '—', '—', '2'], ['Apr, 2011', 'undisclosed amount / Series A', '—', 'Mumbai Angels', '1']]","[['500 Startups', 'Seed', '-'], ['Jungle Ventures', 'Venture\xa0(Lead)', 'Amit Anand'], ['Mumbai Angels', 'Series A\xa0(Lead)', '-'], ['Times Internet', 'Seed', '-']]"
0,CatchThatBus,"June 1, 2012",11 - 50,"Catch That Bus is an online travel agent (OTA) that specialises in bus-related travel in SE Asia.
CatchThatBus provides consumers with the ability to browse options and to purchase tickets from a range of trusted operators to over 500 destinations in Malaysia and Singapore.
","Kuala Lumpur, Kuala Lumpur","E-Commerce, Transportation, Online Portals","[['Aug, 2015', '$1.5M / Seed', '—', 'Jungle Ventures', '2'], ['May, 2014', 'undisclosed amount / Venture', '—', 'Jungle Ventures', '2'], ['Aug, 2012', '$50k / Grant', '$50k', '—', '1']]","[['500 Startups', 'Seed', '-'], ['Cradle', 'Grant', '-'], ['Jungle Ventures', 'Venture\xa0(Lead)', 'Amit Anand', 'Seed\xa0(Lead)', 'Amit Anand'], ['National Research Foundation', 'Venture', '-']]"
0,Jumbotail,"November 4, 2015",11 - 50,"Jumbotail is a top tier VC funded startup building an online marketplace for food and grocery, targeted at wholesale buyers. Our vision is to organise the food and grocery ecosystem in India using technology, data science and design. We are building products, platforms and services for the next billion people of India, who have fundamentally different needs - access, language, selection, supply chain, financial, cultural, and the like. Our market potential is huge - in the order of hundreds of billions of dollars. We have a strong core team consisting of alumni from Stanford, CMU, IIT, BITS etc. having several years of industry experience in companies like Amazon, Flipkart, Ebay, BCG, Housing, and Grofers.
We are reimagining and reengineering the food and grocery ecosystem through intelligent technology, intuitive design, and innovative business and supply chain models. We are a passionate team driven by our sense of purpose to solve a critical real world problem. Each team member will have significant ownership of key components that go into the next generation e-commerce, supply chain, demand generation, and credit technology platforms and services that we are building. 
The work you will do at Jumbotail will impact real lives and bring a lasting positive change for the next billion people of India. We promise a fun, fast paced ride with some of the smartest people, with full of opportunities to learn and grow, and leave a legacy. 
Come join us, make your one life count! Write to us at mission@jumbotail.com
","Bangalore, Karnataka","Food and Beverage, Venture Capital, Grocery","[['Jul, 2017', '$8.5M / Series A', '—', 'Kalaari CapitalNexus Venture Partners', '2'], ['Jul, 2016', '$1.96M / Seed', '—', 'Nexus Venture Partners', '1']]","[['Kalaari Capital', 'Series A\xa0(Lead)', '-'], ['Nexus Venture Partners', 'Seed\xa0(Lead)', '-', 'Series A\xa0(Lead)', 'Sameer Brij Verma']]"
0,Arkin,2013,11 - 50,"Arkin removes barriers to software-defined data center (SDDC) adoption by providing a radically simple and collaborative approach to Operations. With a Google Search-like experience, the Arkin platform is an Industry first operations platform for converged infrastructure and software-defined data centers. Organizations have deployed Arkin to get deep visibility across virtual and physical, strengthen security, maximize utilization and improve performance while collaborating better. Based in Mountain View, CA and Pune India, Arkin was founded by Virtualization and Big Data Experts and is backed by Nexus Venture Partners as well as strategic investors and several industry luminaries. Learn more at www.arkin.net or follow us @arkinnet.
","Mountain View, CA","Social Network, Computer, Software","[['Jun, 2015', '$15M / Series B', '—', 'Nexus Venture Partners', '1'], ['Nov, 2014', '$7M / Series A', '—', 'Nexus Venture Partners', '4']]","[['Alan Cohen', 'Series A', '-'], ['B. V. Jagadeesh', 'Series A', '-'], ['Nexus Venture Partners', 'Series A\xa0(Lead)', 'Jishnu Bhattacharjee', 'Series B\xa0(Lead)', 'Jishnu Bhattacharjee'], ['Semil Shah', 'Series A', '-']]"
0,Myntra,"January 1, 2007",11 - 50,"Myntra.com is among the leading e-commerce platforms in India for fashion and lifestyle products. Myntra has tied up with over 500 leading fashion and lifestyle brands in the country such as Nike, Adidas, Puma, Lee, Levis, Wrangler, Arrow, Jealous 21, Biba, Fabindia, US Polo and the likes to offer a wide range in latest branded fashion and lifestyle wear.
Myntra’s value proposition revolves around giving consumers the power and ease of purchasing fashion and lifestyle products online. The company's unique offerings include the largest in-season product catalogue, 100% authentic products, cash on delivery and 30 day return policy making Myntra, the preferred shopping destination in the country.
Myntra is making a conscious effort to bring the power of fashion to its shoppers. Myntra recently developed an in-house application called ‘Style Studio’, a virtual dressing room aimed at making online shopping fun and interactive for shoppers. The company’s fashion property ‘Star N Style’ is an effort to bring youth icons together to build a strong and a direct brand connect with its customers. Style Mynt, Myntra’s very own style blog style offers season’s fashion trends, tips from celebrities and expert recommendations from acclaimed designers and celebrity stylists.
Myntra was started by a group of IIT / IIM graduates in 2007 and is headquartered in Bangalore. The company has been funded by top tier Venture Capital funds like Tiger Global, IndoUS, IDG & Accel Partners.
","Bangalore, Karnataka","E-Commerce, Internet, Shopping, Fashion","[['Jan, 2014', '$50M / Venture', '$200M', '—', '4'], ['May, 2013', '$25M / Venture', '—', '—', '2'], ['Feb, 2013', '$8M / Series E', '—', '—', '4'], ['May, 2012', '$25M / Series D', '—', '—', '2'], ['Aug, 2011', '$20.75M / Series C', '—', '—', '4'], ['Mar, 2011', '$14M / Series B', '—', 'Tiger Global Management', '3'], ['Jul, 2010', '$11M / Series B', '—', '—', '3'], ['Nov, 2008', '$5M / Series A', '—', 'IDG Ventures IndiaNew Enterprise Associates', '4'], ['2007', 'undisclosed amount / Seed', '—', '—', '2']]","[['Accel Partners', 'Seed', '-', 'Series A', 'Subrata Mitra', 'Series B', 'Subrata Mitra', 'Series C', 'Subrata Mitra', 'Series E', 'Subrata Mitra', 'Venture', 'Subrata Mitra', 'Venture', 'Subrata Mitra'], ['IDG Ventures India', 'Series A\xa0(Lead)', 'Ranjith Menon', 'Series B', 'Ranjith Menon', 'Series B', 'Ranjith Menon', 'Series C', 'Ranjith Menon', 'Series D', 'Ranjith Menon', 'Series E', 'Ranjith Menon'], ['Kalaari Capital', 'Series A', 'Vani Kola', 'Series B', 'Vani Kola', 'Series B', 'Vani Kola', 'Series C', 'Vani Kola', 'Series E', 'Vani Kola'], ['Mumbai Angels', 'Seed', '-'], ['New Enterprise Associates', 'Series A\xa0(Lead)', '-'], ['PremjiInvest', 'Venture', '-'], ['Sofina', 'Venture', '-'], ['Tiger Global Management', 'Series B\xa0(Lead)', '-', 'Series C', '-', 'Series D', '-', 'Series E', '-', 'Venture', '-', 'Venture', '-']]"
0,BankBazaar.com,"July 1, 2008",11 - 50,"BankBazaar.com is the world's first neutral online marketplace that gives you instant customized rate quotes on loans and insurance products. You can instantly search for, compare and apply for loans, credit cards and insurance products on their site. Since they partner with India's leading financial institutions and insurance firms, you have to look in only one place to get a great deal: BankBazaar.com.
Their goal is to make it easy for everyone to get a great deal on a loan or an insurance product. On BankBazaar.com, you can easily compare the total costs of the loan offers made to you, and get access to unbiased customers' ratings of financial institutions. They want to make it easy for you to have a lot of options, to take a well-informed decision when choosing which product to apply for and to do all this instantly! And best of all, BankBazaar.com's services are completely free.
","Chennai, Tamil Nadu","E-Commerce, Marketplace, Finance, Insurance","[['Sep, 2016', '₹50M / Venture', '—', '—', '0'], ['Jul, 2015', '$60M / Series C', '—', 'Amazon', '5'], ['Jan, 2014', '$13M / Series B', '—', 'Sequoia Capital', '2'], ['Mar, 2011', '$6M / Series A', '—', 'Walden International', '1']]","[['Amazon', 'Series C\xa0(Lead)', '-'], ['Eight Roads Ventures', 'Series C', '-'], ['Mousse Partners', 'Series C', '-'], ['Sequoia Capital', 'Series B\xa0(Lead)', '-', 'Series C', '-'], ['Walden International', 'Series A\xa0(Lead)', '-', 'Series B', '-', 'Series C', '-']]"
0,Zovi,2010,11 - 50,"The ZOVI brand was born out of a simple yet powerful idea: Let’s locally design and manufacture high-quality lifestyle apparel and accessory products and exclusively offer them online to you at extremely reasonable prices.
","Bangalore, Karnataka","E-Commerce, Lifestyle, Apps, Payments",,
0,Cleartrip,"January, 2006",11 - 50,"Cleartrip.com is the travel site that gives you what you need without any annoying fluff. They are focused on simplicity, comprehensibility, reliability, and responsibility to give you the best travel service.
","Mumbai, Maharashtra","Adventure Travel, Travel, Leisure","[['Jun, 2016', 'undisclosed amount / Venture', '—', 'Concur TechnologiesGund Investment, LLC', '2'], ['May, 2014', '$5.4M / Venture', '—', 'Concur Technologies', '1'], ['Apr, 2011', '$40M / Venture', '—', 'Concur Technologies', '1'], ['Dec, 2006', '$8M / Venture', '—', 'DAG Ventures', '1'], ['Jan, 2006', '$3M / Venture', '—', '—', '2']]","[['Concur Technologies', 'Venture\xa0(Lead)', 'John Torrey', 'Venture\xa0(Lead)', 'John Torrey', 'Venture\xa0(Lead)', '-'], ['DAG Ventures', 'Venture\xa0(Lead)', 'Greg Williams'], ['Gund Investment, LLC', 'Venture\xa0(Lead)', '-'], ['Kleiner Perkins Caufield & Byers', 'Venture', '-'], ['Ram Shriram', 'Venture', '-']]"
0,GreenDust,"October 1, 2008Aliases:Reverse Logistic",11 - 50,"GreenDust is India’s premier online shopping site that offers customers and bulk buyers the option to purchase unused, branded factory seconds, surplus, overstock, and refurbished products at the lowest prices – guaranteed. Our products are even cheaper than CSD canteen! We support the online shopping experience with physical retail stores. We have over 100 stores and plan to make it over 500 within 6 months. Look out for a GreenDust store coming in your neighborhood. Our product categories keep on changing but we carry electronic gadgets, laptops, mobiles, mobile accessories, Bluetooth headsets, computers, accessories, batteries, laptops, refrigerators, ACs, washing machines, digital cameras, audio, video, LCDs, LEDs, games, mixers, JMG, irons, cook tops, blenders, heaters, personal care products, health care, and many more product categories across well known brands like Sony, Samsung, LG, Videocon, Onida, Panasonic, Phillips, HTC, Palm, Toshiba, Blackberry, Apple, Nokia, Kodak, Sony Ericsson, BenQ, Nikon, Canon, Olympus, Karbonn, Micromax, Whirlpool, Glen, INALSA, and many more.
","Delhi, Delhi","E-Commerce, Internet, Logistics","[['Sep, 2013', '$10M / Series C', '—', 'LightboxVertex Ventures', '2'], ['Jun, 2012', '$40M / Series B', '—', 'Vertex Ventures', '3'], ['Mar, 2010', 'undisclosed amount / Series A', '—', '—', '1']]","[['Kleiner Perkins Caufield & Byers', 'Series B', '-'], ['Lightbox', 'Series C\xa0(Lead)', '-'], ['Reliance Venture Asset Management', 'Series A', '-'], ['Sherpalo Ventures', 'Series B', '-'], ['Vertex Ventures', 'Series B\xa0(Lead)', 'Ben MathiasJoo Hock Chua', 'Series C\xa0(Lead)', 'Ben MathiasJoo Hock Chua']]"
0,InMobi,"January 1, 2007",11 - 50,"InMobi enables the world’s leading brands, developers, and publishers to engage global consumers through mobile advertising. InMobi platforms leverage advances in big data, user behavior, and cloud-based architectures to simplify mobile advertising for its customers. Recognized by MIT Technology Review as one of the 50 Disruptive Companies of 2013, InMobi is the world's largest independent mobile ad platform, engaging 872 million uniques in over 200 countries.
Additional information:
• Visit www.inmobi.com, or follow us on Twitter @InMobi.
• Download the InMobi Showcase App on the App Store or Google Play.
• Discover the latest mobile insights at www.inmobi.com/insights/.
• Developers, start monetizing today by downloading our SDK at www.inmobi.com/products/sdk.
","Bangalore, Karnataka","Marketing, Advertising, Mobile","[['Sep, 2015', '$100M / Debt Financing', '—', '—', '1'], ['Dec, 2014', '$5M / Venture', '—', 'SoftBank Capital', '1'], ['Sep, 2011', '$200M / Series C', '—', 'SoftBank Capital', '3'], ['Jul, 2010', '$8M / Series B', '—', 'Kleiner Perkins Caufield & ByersSherpalo Ventures', '2'], ['Jan, 2008', '$7.1M / Series A', '—', '—', '2'], ['Jan, 2007', '$500k / Angel', '—', '—', '1']]","[['Kleiner Perkins Caufield & Byers', 'Series A', 'Michael Abbott', 'Series B\xa0(Lead)', 'Michael Abbott', 'Series C', 'Michael Abbott'], ['Mumbai Angels', 'Angel', '-'], ['Sherpalo Ventures', 'Series A', '-', 'Series B\xa0(Lead)', '-', 'Series C', '-'], ['SoftBank Capital', 'Series C\xa0(Lead)', '-', 'Venture\xa0(Lead)', '-'], ['Tennenbaum Capital Partners', 'Debt Financing', '-']]"
0,Saavn,2007,11 - 50,"Saavn is India's leading digital music service, transforming how people around the world access and experience music on a daily basis. Saavn’s unique combination of Internet radio and on-demand music capabilities, coupled with proprietary social features like music tagging and music chat, deliver one of the richest media experiences available on mobile and Web today. Saavn has over 20 Million monthly active users and is currently accessed in more than 150 countries. Saavn currently has 35 Million+ tracks in 14 languages: Hindi, English (India only), Tamil, Telugu, Punjabi, Marathi, Gujarati, Bengali, Kannada, Malayalam, Bhojpuri, Urdu, Rajasthani and Odia.  The company has 900+ label partnerships and growing, including T-Series, Tips, YRF, Saregama, Eros, Universal, Sony, and Warner Music.
The company's award-winning iOS and Android mobile products include phonetic search, dynamic bit-rate streaming, global native ad-serving, and industry-leading design. With Saavn Pro, users can listen to music ad-free and offline. And through partnerships with Apple, Google, Facebook, Twitter, and Shazam, Saavn reaches more music fans than any other South Asian music service.  
Saavn was founded in 2007, and has offices in New York, California, Mumbai, Gurgaon and Bangalore. For more information, visit www.saavn.com or corporate.saavn.com.
","Mumbai, Maharashtra","Music Streaming, Internet, Video Streaming, Music, Mobile","[['Jun, 2016', 'undisclosed amount / Venture', '—', '—', '1'], ['Jul, 2015', '$100M / Series C', '—', 'Tiger Global Management', '6'], ['Aug, 2014', '$4M / Series B', '—', 'Steadview Capital', '2'], ['Jan, 2009', '$6M / Series A', '—', '—', '1']]","[['Alex Kahn', 'Series C', '-'], ['Bertelsmann', 'Series C', '-'], ['Guy Oseary', 'Venture', '-'], ['India Internet Fund', 'Series A', 'Anirudh SuriNihal Mehta'], ['Liberty Media', 'Series C', '-'], ['Mousse Partners', 'Series C', '-'], ['Nihal Mehta', 'Series B', '-'], ['Steadview Capital', 'Series B\xa0(Lead)', '-', 'Series C', '-'], ['Tiger Global Management', 'Series C\xa0(Lead)', '-']]"
0,Urban Ladder,"July 12, 2012",11 - 50,"Urban Ladder was launched by co-founders Ashish Goel (CEO) and Rajiv Srivatsa (COO) in July 2012. The online furniture company aims to provide a curated destination for home solutions, to help the Urban Indian build well-furnished, beautiful homes.
With over 1000 products and 25 categories such as wardrobes, sofas, beds, dining tables, storage shelves etc., Urban Ladder’s exquisite collection of furniture is soon becoming popular among shoppers in top metros. The furniture is closely curated with design inputs from Urban Ladder’s in-house team of experienced designers and delivered by Urban Ladder’s owned logistics team for safe doorstep deliveries. At present, Urban Ladder delivers to seven cities in India (Bangalore, Mumbai, Delhi/NCR, Chennai, Pune, Hyderabad, Ahmedabad) and this number is expected to grow soon. 
The Urban Ladder team aims to provide shoppers with a wide range of contemporary designs and high quality, handcrafted furniture that blends beauty with functionality along with easy accessibility. The website’s seamless user interface and easy navigation enhance the virtual showroom experience. 
A friendly and dedicated customer care team ensures customers have a hassle free shopping experience and its own logistics team provides safe doorstep delivery and installation. 
Urban Ladder is backed by top tier venture capital firms Steadview Capital, SAIF Partners and Kalaari Capital.
","Bangalore, Karnataka","E-Commerce, Internet, Furniture, Home Decor","[['Feb, 2017', '₹1.02B / Series E', '—', '—', '5'], ['Aug, 2016', '$3M / Debt Financing', '—', '—', '0'], ['Apr, 2015', '$50M / Series C', '—', 'Sequoia CapitalTR Capital', '6'], ['Jul, 2014', '$21M / Series B', '—', 'Steadview Capital', '3'], ['Nov, 2013', '$5M / Series A', '—', 'SAIF Partners', '2'], ['Aug, 2012', '$1M / Series A', '—', '—', '3']]","[['ABG Capital', 'Series E', '-'], ['Indo-US Venture Partners', 'Series A', '-'], ['Kalaari Capital', 'Series A', '-', 'Series A', '-', 'Series B', '-', 'Series C', '-', 'Series E', '-'], ['Ratan Tata', 'Series C', '-'], ['SAIF Partners', 'Series A', '-', 'Series A\xa0(Lead)', '-', 'Series B', '-', 'Series C', '-', 'Series E', '-'], ['Sequoia Capital', 'Series C\xa0(Lead)', '-', 'Series E', '-'], ['Steadview Capital', 'Series B\xa0(Lead)', '-', 'Series C', '-', 'Series E', '-'], ['TR Capital', 'Series C\xa0(Lead)', '-']]"
0,CaratLane,"October 1, 2008",11 - 50,"CaratLane is India's first & the largest online jewelry store of its kind. One of India’s leading e-commerce companies, CaratLane has become one of the country's most visible online brands since its inception in October 2008. It started with a mission to change the way diamonds and diamond jewellery is bought in India. In 4 short years, this vision is well on its way to being realized.
With a network of over 4000 global vendors, they offer the largest collection of diamonds & diamond jewellery in the country. Sparkling solitaires & precious diamond and gemstone jewellery leave factories daily, to delighted customers in more than 150+ cities and towns across the length & breadth of India. Their business model helps customers save up to 25% over retail prices. CaratLane is promoted by professionals who know the diamond jewellery business inside out as well as one of the pioneers of the online industry in India. Like all online businesses, CaratLane derives strength from having low overheads and low inventory costs. In addition,  all manufacturing is done in house making them not just a re-seller, like most online businesses.
","Chennai, Tamil Nadu","E-Commerce, Jewelry, Manufacturing","[['Jan, 2015', '$31M / Series D', '—', 'Tiger Global Management', '1'], ['May, 2013', '$15M / Series C', '—', '—', '0'], ['Jan, 2012', '$6M / Series B', '—', '—', '1'], ['Jun, 2011', '$6M / Series A', '—', '—', '1']]","[['Tiger Global Management', 'Series A', '-', 'Series B', '-', 'Series D\xa0(Lead)', '-']]"
0,Minglebox,2006,11 - 50,"Minglebox.com is India's leading campus and education network with a user base of students and young professionals across the country.
Minglebox.com was started by a group of IIT/IIM alumni with deep business and technology experience, backed by leading global investors. Minglebox.com helps students find the best colleges and courses through online admission help and counselling services. These products are offered across segments like MBA, Engineering, Study Abroad, Vocational and IT courses as well as Bachelor's programmes in various disciplines.
Minglebox.com is ranked the no.1 educational website in India and has the unique distinction of being the only educational site in India's top 150 websites ranked by Comscore* in 2009. Minglebox.com has students from over 250 cities. *Comscore is the world's leading internet traffic measurement agency and its rankings are widely accepted in the internet industry.
It started as a concept similar to Facebook, creating customized networks for people on college campuses. The goal is for each network to be a close knit community, working like a college intranet. As with most other social networking sites, users can share videos, music, blogs, photos and events.
Orkut remains Minglebox's primary competitor as it has become a huge hit in India.
","Bangalore, Karnataka",Social Media,"[['May, 2007', '$7M / Series A', '—', 'Sequoia Capital', '1']]","[['Sequoia Capital', 'Series A\xa0(Lead)', '-']]"
0,Healthkart,"March 1, 2011",11 - 50,"The one stop shop for health, fitness & beauty.
","Gurgaon, Haryana","Fitness, E-Commerce, Health Care","[['Aug, 2016', '$12M / Series E', '—', 'Sequoia Capital', '2'], ['Jun, 2013', 'undisclosed amount / Series B', '$14M', 'Intel Capital', '1']]","[['Intel Capital', 'Series B\xa0(Lead)', '-'], ['Kae Capital', 'Series E', '-'], ['Sequoia Capital', 'Series E\xa0(Lead)', '-']]"
0,Vymo,2013,11 - 50,"Vymo builds web and mobile applications for automating sales force activities and driving sales effectiveness. It partners with its clients to help them institute sales practices into their daily routine through simple tools. The company’s aim is to help its clients achieve an unprecedented degree of sales productivity and effectiveness, and it brings together the combined experience of its team to achieve this.
Vymo builds software for on-field teams. Its apps and web dashboards help both on-field sales and service teams to improve their productivity. Clients across the globe rely on its analytics platform to gain insights about their on-field activities and make decisions. It was founded in 2013 by Venkat Malladi and is based in Bengaluru.
","Bengaluru, Karnataka","Sales Automation, SaaS, Analytics, Apps, Mobile","[['Nov, 2016', '$5M / Series A', '—', 'Sequoia Capital', '1'], ['Dec, 2015', 'undisclosed amount / Non Equity Assistance', '—', '—', '1']]","[['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Sequoia Capital', 'Series A\xa0(Lead)', '-']]"
